year	departamen	mean
2014	Colón	5076.916666666667
2014	Concordia	15747
2014	Diamante	4736.416666666667
2014	Federación	5153.5
2014	Federal	2798.25
2014	Feliciano	1595.8333333333333
2014	Gualeguay	4803.166666666667
2014	Gualeguaychú	10297.166666666666
2014	Islas del Ibicuy	509.25
2014	La Paz	5451.5
2014	Nogoyá	3334.6666666666665
2014	Paraná	46586.916666666664
2014	San Salvador	1337.3333333333333
2014	Tala	2914.5
2014	Uruguay	10749.25
2014	Victoria	3453.1666666666665
2014	Villaguay	4301.583333333333
2015	Colón	5136.583333333333
2015	Concordia	16251.666666666666
2015	Diamante	4836.333333333333
2015	Federación	5183.75
2015	Federal	2906.8333333333335
2015	Feliciano	1681
2015	Gualeguay	4931.583333333333
2015	Gualeguaychú	10441.25
2015	Islas del Ibicuy	511.8333333333333
2015	La Paz	5697.583333333333
2015	Nogoyá	3430
2015	Paraná	48010.25
2015	San Salvador	1421.1666666666667
2015	Tala	2995.3333333333335
2015	Uruguay	10619.833333333334
2015	Victoria	3541.1666666666665
2015	Villaguay	4528.75
2016	Colón	5064.833333333333
2016	Concordia	16416
2016	Diamante	4854.5
2016	Federación	5230.5
2016	Federal	3041.4166666666665
2016	Feliciano	1701.0833333333333
2016	Gualeguay	5003.916666666667
2016	Gualeguaychú	10416.916666666666
2016	Islas del Ibicuy	522.1666666666666
2016	La Paz	5797.75
2016	Nogoyá	3536.3333333333335
2016	Paraná	48355.166666666664
2016	San Salvador	1411.0833333333333
2016	Tala	3015.3333333333335
2016	Uruguay	10483.25
2016	Victoria	3644
2016	Villaguay	4603.5
2017	Colón	5148.083333333333
2017	Concordia	16580.166666666668
2017	Diamante	4921.916666666667
2017	Federación	5260.166666666667
2017	Federal	3145.4166666666665
2017	Feliciano	1749.6666666666667
2017	Gualeguay	4993.25
2017	Gualeguaychú	10589.083333333334
2017	Islas del Ibicuy	540.1666666666666
2017	La Paz	5883.416666666667
2017	Nogoyá	3551
2017	Paraná	48817.75
2017	San Salvador	1437.1666666666667
2017	Tala	3048.25
2017	Uruguay	10415.5
2017	Victoria	3708.8333333333335
2017	Villaguay	4628.416666666667
2018	Colón	5092.5
2018	Concordia	16561
2018	Diamante	4981
2018	Federación	5275.083333333333
2018	Federal	3230.8333333333335
2018	Feliciano	1785.25
2018	Gualeguay	5028.25
2018	Gualeguaychú	10614.333333333334
2018	Islas del Ibicuy	548.25
2018	La Paz	6005.333333333333
2018	Nogoyá	3596.1666666666665
2018	Paraná	48749.166666666664
2018	San Salvador	1456.6666666666667
2018	Tala	3064.5833333333335
2018	Uruguay	10327.333333333334
2018	Victoria	3768.8333333333335
2018	Villaguay	4642.5
2019	Colón	5333.75
2019	Concordia	16552.833333333332
2019	Diamante	5028.166666666667
2019	Federación	5262.083333333333
2019	Federal	3318.3333333333335
2019	Feliciano	1812
2019	Gualeguay	5034.916666666667
2019	Gualeguaychú	10759.083333333334
2019	Islas del Ibicuy	547.5833333333334
2019	La Paz	6223.083333333333
2019	Nogoyá	3634.5833333333335
2019	Paraná	49089.5
2019	San Salvador	1489.4166666666667
2019	Tala	3086.25
2019	Uruguay	10262.583333333334
2019	Victoria	3777.6666666666665
2019	Villaguay	4728.666666666667
2020	Colón	5375.583333333333
2020	Concordia	16197
2020	Diamante	4964.583333333333
2020	Federación	5174.75
2020	Federal	3306.8333333333335
2020	Feliciano	1763.75
2020	Gualeguay	4951.5
2020	Gualeguaychú	10611.666666666666
2020	Islas del Ibicuy	537.5833333333334
2020	La Paz	6126.25
2020	Nogoyá	3567.4166666666665
2020	Paraná	47975.75
2020	San Salvador	1463.6666666666667
2020	Tala	3032.0833333333335
2020	Uruguay	10082.083333333334
2020	Victoria	3682.9166666666665
2020	Villaguay	4604.25
2021	Colón	5479.25
2021	Concordia	16674.083333333332
2021	Diamante	5088.833333333333
2021	Federación	5343.333333333333
2021	Federal	3491.9166666666665
2021	Feliciano	1896
2021	Gualeguay	5095.333333333333
2021	Gualeguaychú	10818.083333333334
2021	Islas del Ibicuy	561
2021	La Paz	6372.75
2021	Nogoyá	3651.5
2021	Paraná	48931.75
2021	San Salvador	1543.75
2021	Tala	3144.0833333333335
2021	Uruguay	10300.25
2021	Victoria	3769.0833333333335
2021	Villaguay	4767.583333333333
2022	Colón	5562.666666666667
2022	Concordia	16615.416666666668
2022	Diamante	5128.083333333333
2022	Federación	5391.416666666667
2022	Federal	3604.75
2022	Feliciano	1943.6666666666667
2022	Gualeguay	5140.666666666667
2022	Gualeguaychú	10697.916666666666
2022	Islas del Ibicuy	560.6666666666666
2022	La Paz	6486
2022	Nogoyá	3679.25
2022	Paraná	48901.333333333336
2022	San Salvador	1561.0833333333333
2022	Tala	3151.1666666666665
2022	Uruguay	10338.833333333334
2022	Victoria	3779.5
2022	Villaguay	4885.666666666667
2023	Colón	5714
2023	Concordia	16624
2023	Diamante	5194
2023	Federación	5335
2023	Federal	3697
2023	Feliciano	1970
2023	Gualeguay	5178
2023	Gualeguaychú	10850
2023	Islas del Ibicuy	573
2023	La Paz	6410
2023	Nogoyá	3730
2023	Paraná	48861
2023	San Salvador	1599
2023	Tala	3181
2023	Uruguay	10416
2023	Victoria	3796
2023	Villaguay	4980
